emp_no,first_name,last_name,dept_name,title
10001,Georgi,Facello,Development,Senior Engineer
10053,Sanjiv,Zschoche,Sales,Senior Staff
10066,Kwee,Schusler,Development,Senior Engineer
10072,Hironoby,Sidou,Development,Senior Engineer
10076,Erez,Ritzmann,Development,Senior Engineer
10103,Akemi,Birch,Development,Engineer
10129,Armond,Peir,Development,Technique Leader
10150,Zhenbing,Perng,Development,Senior Engineer
10153,Heekeun,Majewski,Development,Assistant Engineer
10157,Nigel,Aloisi,Development,Senior Engineer
10198,Pranav,Furedi,Development,Senior Engineer
10215,Xiaobin,Duclos,Sales,Senior Staff
10258,Basil,Ishibashi,Development,Senior Engineer
10283,Kauko,Birjandi,Development,Senior Engineer
10355,Satyanarayana,Cochrane,Sales,Staff
10396,Sibyl,Rahier,Development,Senior Engineer
10404,Prodip,Rosti,Development,Senior Engineer
10426,Arunas,Luce,Development,Technique Leader
10429,Martien,Improta,Development,Senior Engineer
10463,Ung,Zaiane,Sales,Staff
10504,Xiong,Varker,Sales,Staff
10628,Krisda,Krogh,Development,Senior Engineer
10631,Inderjeet,Chaudhuri,Development,Engineer
10642,Hirochika,Narlikar,Development,Engineer
10653,Otmar,Feinberg,Development,Senior Engineer
10676,Valeri,Danley,Development,Engineer
10702,Bader,Szemeredi,Development,Senior Engineer
10718,Adib,Rullman,Development,Senior Engineer
10726,Zita,Minakawa,Development,Senior Engineer
10767,Monique,Doering,Sales,Staff
10791,Tadahiko,Sgarro,Development,Senior Engineer
10795,Supot,Naudin,Sales,Staff
10808,Chenxi,Leijenhorst,Development,Senior Engineer
10844,Dipayan,Koprowski,Development,Engineer
10878,Lakshmi,Deville,Sales,Staff
10879,Muzhong,Chleq,Development,Senior Engineer
10909,Georgi,Atchley,Development,Senior Engineer
10924,Hironoby,Atchley,Sales,Staff
10943,Berna,Skafidas,Development,Senior Engineer
10965,Eckart,Braunschweig,Sales,Senior Staff
10969,Premal,Noriega,Development,Senior Engineer
10974,Muneo,Papsdorf,Development,Senior Engineer
10986,Masako,Schiper,Development,Technique Leader
10988,Chinya,Deyuan,Development,Senior Engineer
10990,Shin,Foote,Development,Technique Leader
11009,Alper,Axelband,Sales,Staff
11019,Leon,Huttel,Development,Senior Engineer
11042,Gou,Breugel,Development,Senior Engineer
11048,Jaques,Demke,Sales,Senior Staff
11106,Aris,Iwayama,Development,Senior Engineer
11121,Vugranam,Kakkad,Development,Senior Engineer
11137,Hugh,Luca,Development,Engineer
11146,Ishfaq,Masand,Sales,Staff
11162,Kauko,Narlikar,Development,Senior Engineer
11180,Mitsuyuki,Bojadziev,Development,Senior Engineer
11197,Tadahiro,Fordan,Sales,Senior Staff
11207,Saeed,Gips,Development,Engineer
11240,Kiam,Condotta,Development,Engineer
11249,Randi,Cyre,Development,Engineer
11275,Hitomi,Eppinger,Development,Senior Engineer
11290,Visit,Dredge,Development,Engineer
11319,Pranas,Marrakchi,Development,Assistant Engineer
11338,Kwangsub,Hanratty,Sales,Senior Staff
11347,Anneli,Jonsson,Development,Senior Engineer
11380,Kenroku,Pelc,Development,Senior Engineer
11404,Bedrich,Borovoy,Development,Technique Leader
11441,Marlo,Aingworth,Sales,Senior Staff
11506,Rance,Picel,Sales,Staff
11509,Aleksander,Feldhoffer,Development,Senior Engineer
11515,Ulf,Basawa,Sales,Staff
11524,Xiadong,Standera,Development,Senior Engineer
11537,DAIDA,Pehl,Sales,Senior Staff
11567,Teiji,Mitzlaff,Sales,Staff
11568,Martins,Fujisaki,Development,Senior Engineer
11615,Shem,Isaak,Sales,Staff
11640,Valeri,Coorg,Development,Senior Engineer
11647,Magy,Nitsche,Development,Senior Engineer
11660,Gill,Stenning,Sales,Staff
11696,Dante,Rothe,Sales,Staff
11746,Koichi,Marrakchi,Sales,Staff
11769,Chandrasekaran,Lampe,Development,Staff
11772,Gaurav,Penz,Development,Engineer
11810,Amabile,Bhattacharjee,Development,Senior Engineer
11817,Niranjan,Markovitch,Sales,Staff
11832,Arto,Zlotek,Development,Engineer
11844,Shawna,Demeyer,Development,Senior Engineer
11857,Divier,Farrag,Sales,Senior Staff
11871,Nalini,Sommen,Development,Senior Engineer
11894,Mitchel,Validov,Development,Senior Engineer
11897,Cordelia,Setlzner,Sales,Staff
11906,Hideo,Boguraev,Development,Engineer
11933,Basil,Erman,Development,Senior Engineer
11983,Jaana,Hedayat,Development,Senior Engineer
12011,Zhilian,Coorg,Sales,Staff
12036,Mads,Ratzlaff,Sales,Staff
12069,Ayonca,Burnard,Development,Senior Engineer
12070,Ger,Shokrollahi,Development,Technique Leader
12076,Karlis,Siprelle,Sales,Senior Staff
12082,Xinan,Yamaashi,Sales,Staff
12099,Nobuyoshi,Kuzuoka,Sales,Staff
12149,Suebskul,Grandbois,Sales,Senior Staff
12159,Shem,Perly,Development,Senior Engineer
12165,Xiaobin,Maquelin,Development,Senior Engineer
12205,Sushant,Rossi,Development,Senior Engineer
12206,Barton,Janetzko,Development,Senior Engineer
12221,Vincent,Melter,Development,Senior Engineer
12247,Subbu,Penttonen,Development,Technique Leader
12249,Eldridge,Sadowski,Development,Senior Engineer
12264,Mart,Pagter,Development,Engineer
12311,Susanne,Lubachevsky,Development,Senior Engineer
12327,DAIDA,Bruckman,Development,Senior Engineer
12341,Rasiah,Luga,Development,Senior Engineer
12373,Mooi,Driscoll,Sales,Senior Staff
12399,Mihalis,Luga,Sales,Staff
12411,Shao,Ibel,Sales,Staff
12454,Kerryn,Farris,Sales,Staff
12464,Shai,Milicic,Sales,Staff
12475,Filipe,Roison,Development,Senior Engineer
12489,Arnould,Munck,Development,Senior Engineer
12490,Jackson,Muchinsky,Development,Senior Engineer
12497,Stein,Penz,Sales,Staff
12514,Tomofumi,Melter,Development,Engineer
12541,Shih,Nanard,Sales,Staff
12589,Anoosh,Chleq,Development,Senior Engineer
12601,Ghassan,Simkin,Development,Senior Engineer
12638,Yuqun,Seiwald,Development,Engineer
12651,Pragnesh,Bael,Sales,Senior Staff
12662,Leucio,Alvarado,Development,Engineer
12663,Nobuyoshi,Stellhorn,Development,Technique Leader
12689,Luerbio,Boudaillier,Development,Senior Engineer
12709,Ronghao,Botman,Development,Senior Engineer
12726,Fumitake,Panwar,Development,Senior Engineer
12732,Mara,Takanami,Sales,Senior Staff
12734,Gil,Frijda,Development,Senior Engineer
12773,Jenwei,Lovengreen,Development,Senior Engineer
12790,Gunilla,Perl,Sales,Staff
12798,Lillian,Beeson,Sales,Staff
12848,Kazuhide,Smeets,Development,Engineer
12872,Marl,Schmittgen,Sales,Staff
12879,Baruch,Eugenio,Development,Senior Engineer
12890,Neven,Casley,Sales,Senior Staff
12893,Licheng,Crouzet,Sales,Staff
12905,Munehiro,Gecsei,Development,Senior Engineer
12940,Odinaldo,Farrar,Development,Senior Engineer
12941,Tommaso,Perelgut,Development,Senior Engineer
12949,Geoff,Asrin,Development,Senior Engineer
12977,Byong,Markovitch,Development,Senior Engineer
13047,Atilio,Chelton,Development,Senior Engineer
13076,Deniz,Skafidas,Development,Engineer
13103,Srinidhi,Ellozy,Development,Senior Engineer
13124,Quingbo,Garnick,Sales,Senior Staff
13146,Haldon,Erie,Sales,Senior Staff
13147,Shichao,Ginesta,Sales,Staff
13156,Akeel,Millington,Development,Senior Engineer
13173,Arve,Horswill,Sales,Staff
13179,Moty,Janocha,Sales,Staff
13186,Kyoichi,Barbanera,Sales,Staff
13213,Hein,Billawala,Sales,Staff
13232,Mitchel,Fujisaki,Development,Technique Leader
13233,Alselm,Chvatal,Development,Senior Engineer
13238,Ebru,Foote,Sales,Staff
13240,King,Pileggi,Development,Senior Engineer
13291,Georg,Stamatiou,Development,Senior Engineer
13302,Mack,Alencar,Development,Senior Engineer
13315,Sakthirel,Stroustrup,Development,Senior Engineer
13386,Khosrow,Sgarro,Development,Technique Leader
13392,Fumitake,Beidas,Sales,Staff
13405,Randy,Baba,Sales,Senior Staff
13493,Uinam,Jullig,Development,Senior Engineer
13504,Parto,Mandell,Development,Engineer
13524,Chaoyi,Porotnikoff,Sales,Staff
13549,Matk,Koprowski,Development,Technique Leader
13576,Jungsoon,Engberts,Development,Staff
13605,Dmitry,Encarnacion,Sales,Staff
13621,Fei,Haddadi,Development,Engineer
13629,Dzung,Trelles,Development,Senior Engineer
13670,Moti,Takanami,Development,Senior Engineer
13680,Denny,Speer,Sales,Staff
13685,Weicheng,Hockney,Development,Senior Engineer
13697,Shuichi,Weedon,Development,Technique Leader
13721,Sugwoo,Delgrossi,Sales,Staff
13738,Bangqing,Mitchem,Development,Engineer
13769,Yakichi,Trogemann,Sales,Senior Staff
13775,Arve,Maierhofer,Sales,Staff
13786,Takushi,Berendt,Sales,Staff
13796,Paloma,Thorelli,Development,Engineer
13859,Anoosh,Fujisawa,Development,Senior Engineer
13904,Youngkon,Cairo,Development,Senior Engineer
13934,Shiv,Bratsberg,Development,Senior Engineer
13942,Elzbieta,Esteva,Development,Technique Leader
13951,Mooi,Genther,Sales,Staff
13969,Jianwen,Chandrasekhar,Development,Technique Leader
13990,Deborah,Schapiro,Development,Engineer
14005,Vojin,Stellhorn,Development,Technique Leader
14191,Jiann,Luby,Development,Senior Engineer
14232,Masali,Bojadziev,Development,Senior Engineer
14310,Marlo,Leuchs,Sales,Senior Staff
14322,Shem,Kakkad,Development,Engineer
14354,Mong,Bojadziev,Sales,Staff
14384,Tomofumi,Holburn,Development,Technique Leader
14434,Elvis,Maginnis,Development,Technique Leader
14478,Munehiro,Boissier,Sales,Senior Staff
14483,Supot,Marrevee,Development,Senior Engineer
14516,Kristian,Underwood,Sales,Senior Staff
14552,Ibibia,Snyers,Development,Senior Engineer
14560,Elrique,Driscoll,Development,Senior Engineer
14581,Gao,Condotta,Development,Senior Engineer
14582,Kiyokazu,Morrin,Development,Senior Engineer
