emp_no,first_name,last_name,dept_name,title
10053,Sanjiv,Zschoche,Sales,Senior Staff
10215,Xiaobin,Duclos,Sales,Senior Staff
10355,Satyanarayana,Cochrane,Sales,Staff
10463,Ung,Zaiane,Sales,Staff
10504,Xiong,Varker,Sales,Staff
10767,Monique,Doering,Sales,Staff
10795,Supot,Naudin,Sales,Staff
10878,Lakshmi,Deville,Sales,Staff
10924,Hironoby,Atchley,Sales,Staff
10965,Eckart,Braunschweig,Sales,Senior Staff
11009,Alper,Axelband,Sales,Staff
11048,Jaques,Demke,Sales,Senior Staff
11146,Ishfaq,Masand,Sales,Staff
11197,Tadahiro,Fordan,Sales,Senior Staff
11338,Kwangsub,Hanratty,Sales,Senior Staff
11441,Marlo,Aingworth,Sales,Senior Staff
11506,Rance,Picel,Sales,Staff
11515,Ulf,Basawa,Sales,Staff
11537,DAIDA,Pehl,Sales,Senior Staff
11567,Teiji,Mitzlaff,Sales,Staff
11615,Shem,Isaak,Sales,Staff
11660,Gill,Stenning,Sales,Staff
11696,Dante,Rothe,Sales,Staff
11746,Koichi,Marrakchi,Sales,Staff
11817,Niranjan,Markovitch,Sales,Staff
11857,Divier,Farrag,Sales,Senior Staff
11897,Cordelia,Setlzner,Sales,Staff
12011,Zhilian,Coorg,Sales,Staff
12036,Mads,Ratzlaff,Sales,Staff
12076,Karlis,Siprelle,Sales,Senior Staff
12082,Xinan,Yamaashi,Sales,Staff
12099,Nobuyoshi,Kuzuoka,Sales,Staff
12149,Suebskul,Grandbois,Sales,Senior Staff
12373,Mooi,Driscoll,Sales,Senior Staff
12399,Mihalis,Luga,Sales,Staff
12411,Shao,Ibel,Sales,Staff
12454,Kerryn,Farris,Sales,Staff
12464,Shai,Milicic,Sales,Staff
12497,Stein,Penz,Sales,Staff
12541,Shih,Nanard,Sales,Staff
12651,Pragnesh,Bael,Sales,Senior Staff
12732,Mara,Takanami,Sales,Senior Staff
12790,Gunilla,Perl,Sales,Staff
12798,Lillian,Beeson,Sales,Staff
12872,Marl,Schmittgen,Sales,Staff
12890,Neven,Casley,Sales,Senior Staff
12893,Licheng,Crouzet,Sales,Staff
13124,Quingbo,Garnick,Sales,Senior Staff
13146,Haldon,Erie,Sales,Senior Staff
13147,Shichao,Ginesta,Sales,Staff
13173,Arve,Horswill,Sales,Staff
13179,Moty,Janocha,Sales,Staff
13186,Kyoichi,Barbanera,Sales,Staff
13213,Hein,Billawala,Sales,Staff
13238,Ebru,Foote,Sales,Staff
13392,Fumitake,Beidas,Sales,Staff
13405,Randy,Baba,Sales,Senior Staff
13524,Chaoyi,Porotnikoff,Sales,Staff
13605,Dmitry,Encarnacion,Sales,Staff
13680,Denny,Speer,Sales,Staff
